i,j,n,value
0,4,20,17.1241006138119
0,4,21,16.865081987779774
0,4,22,16.542465566542116
0,4,23,16.15947482673713
0,4,24,15.719936485237042
0,4,25,15.228242263858057
0,4,26,14.689305008727695
0,4,27,14.10850960275025
0,4,28,13.49165916163681
0,4,29,12.844917051091336
0,4,30,12.174745304497876
0,4,31,11.48784005641907
0,4,32,10.791064637033033
0,4,33,10.091380996006938
0,4,34,9.395780140997262
0,4,35,8.71121228581218
0,4,36,8.04451740617266
0,4,37,7.402356896936033
0,4,38,6.791147013640546
0,4,39,6.216994763400968
0,4,40,5.685636885712183
0,4,41,5.202382532844502
0,4,42,4.772060222549128
0,4,43,4.398969593104883
0,4,44,4.086838442753816
0,4,45,3.838785482773387
0,4,46,3.657289176344321
0,4,47,3.544162974565749
0,4,48,3.500537197051294
0,4,49,3.5268477381491152
0,4,50,3.6228317116296727
0,4,51,3.787530077358031
0,4,52,4.019297223705873
0,4,53,4.315817409958928
0,4,54,4.674127904432691
0,4,55,5.09064858710809
0,4,56,5.561217721007257
0,4,57,6.081133534893748
0,4,58,6.645201201816537
0,4,59,7.247784744103699
0,5,0,7.323507010806445
0,5,1,9.0
0,5,2,9.599000499880969
0,5,3,10.192015984770368
0,5,4,10.773121239968038
0,5,5,11.336510053851903
0,5,6,11.876553231625218
0,5,7,12.387854840370212
0,5,8,12.865306123426146
0,5,9,13.304136545397135
0,5,10,13.6999614577649
0,5,11,14.04882590884738
0,5,12,14.347244160368612
0,5,13,14.592234515803359
0,5,14,14.781349112503158
0,5,15,14.91269837993076
0,5,16,14.984969919624326
0,5,17,14.99744161824903
0,5,18,14.949988862714813
0,5,19,14.84308578526917
0,5,20,14.677800526124487
0,5,21,14.455784560954092
0,5,22,14.179256199893242
0,5,23,13.85097842291754
0,5,24,13.474231273060322
0,5,25,13.052779083306906
0,5,26,12.590832864623739
0,5,27,12.093008230928785
0,5,28,11.564279281402978
0,5,29,11.009928900935432
0,5,30,10.435495975283894
0,5,31,9.846720048359202
0,5,32,9.249483974599743
0,5,33,8.649755139434518
0,5,34,8.05352583514051
0,5,35,7.466753387839013
0,5,36,6.895300633862281
0,5,37,6.344877340230886
0,5,38,5.820983154549039
0,5,39,5.328852654343686
0,5,40,4.873403044896158
0,5,41,4.45918502815243
0,5,42,4.0903373336135385
0,5,43,3.770545365518471
0,5,44,3.5030043795032704
0,5,45,3.2903875566629033
0,5,46,3.134819294009418
0,5,47,3.0378539781992133
0,5,48,3.000460454615395
0,5,49,3.023012346984956
0,5,50,3.105284324254005
0,5,51,3.2464543520211695
0,5,52,3.4451119060336053
0,5,53,3.6992720656790814
0,5,54,4.006395346656593
0,5,55,4.363413074664077
0,5,56,4.766758046577649
0,5,57,5.2124001727660705
0,5,58,5.6958867444141745
0,5,59,6.212386923517456
0,6,0,7.323507010806445
0,6,1,9.0
0,6,2,9.599000499880969
0,6,3,10.192015984770368
0,6,4,10.773121239968038
0,6,5,11.336510053851903
0,6,6,11.876553231625218
0,6,7,12.387854840370212
0,6,8,12.865306123426146
0,6,9,13.304136545397135
0,6,10,13.6999614577649
0,6,11,14.04882590884738
0,6,12,14.347244160368612
0,6,13,14.592234515803359
0,6,14,14.781349112503158
0,6,15,14.91269837993076
0,6,16,14.984969919624326
0,6,17,14.99744161824903
0,6,18,14.949988862714813
0,6,19,14.84308578526917
0,6,20,14.677800526124487
0,6,21,14.455784560954092
0,6,22,14.179256199893242
0,6,23,13.85097842291754
0,6,24,13.474231273060322
0,6,25,13.052779083306906
0,6,26,12.590832864623739
0,6,27,12.093008230928785
0,6,28,11.564279281402978
0,6,29,11.009928900935432
0,6,30,10.435495975283894
0,6,31,9.846720048359202
0,6,32,9.249483974599743
0,6,33,8.649755139434518
0,6,34,8.05352583514051
0,6,35,7.466753387839013
0,6,36,6.895300633862281
0,6,37,6.344877340230886
0,6,38,5.820983154549039
0,6,39,5.328852654343686
0,6,40,4.873403044896158
0,6,41,4.45918502815243
0,6,42,4.0903373336135385
0,6,43,3.770545365518471
0,6,44,3.5030043795032704
0,6,45,3.2903875566629033
0,6,46,3.134819294009418
0,6,47,3.0378539781992133
0,6,48,3.000460454615395
0,6,49,3.023012346984956
0,6,50,3.105284324254005
0,6,51,3.2464543520211695
0,6,52,3.4451119060336053
0,6,53,3.6992720656790814
0,6,54,4.006395346656593
0,6,55,4.363413074664077
0,6,56,4.766758046577649
0,6,57,5.2124001727660705
0,6,58,5.6958867444141745
0,6,59,6.212386923517456
0,7,0,7.323507010806445
0,7,1,9.0
0,7,2,9.599000499880969
0,7,3,10.192015984770368
0,7,4,10.773121239968038
0,7,5,11.336510053851903
0,7,6,11.876553231625218
0,7,7,12.387854840370212
0,7,8,12.865306123426146
0,7,9,13.304136545397135
0,7,10,13.6999614577649
0,7,11,14.04882590884738
0,7,12,14.347244160368612
0,7,13,14.592234515803359
0,7,14,14.781349112503158
0,7,15,14.91269837993076
0,7,16,14.984969919624326
0,7,17,14.99744161824903
0,7,18,14.949988862714813
0,7,19,14.84308578526917
0,7,20,14.677800526124487
0,7,21,14.455784560954092
0,7,22,14.179256199893242
0,7,23,13.85097842291754
0,7,24,13.474231273060322
0,7,25,13.052779083306906
0,7,26,12.590832864623739
0,7,27,12.093008230928785
0,7,28,11.564279281402978
0,7,29,11.009928900935432
0,7,30,10.435495975283894
0,7,31,9.846720048359202
0,7,32,9.249483974599743
0,7,33,8.649755139434518
0,7,34,8.05352583514051
0,7,35,7.466753387839013
0,7,36,6.895300633862281
0,7,37,6.344877340230886
0,7,38,5.820983154549039
0,7,39,5.328852654343686
0,7,40,4.873403044896158
0,7,41,4.45918502815243
0,7,42,4.0903373336135385
0,7,43,3.770545365518471
0,7,44,3.5030043795032704
0,7,45,3.2903875566629033
0,7,46,3.134819294009418
0,7,47,3.0378539781992133
0,7,48,3.000460454615395
0,7,49,3.023012346984956
0,7,50,3.105284324254005
0,7,51,3.2464543520211695
0,7,52,3.4451119060336053
0,7,53,3.6992720656790814
0,7,54,4.006395346656593
0,7,55,4.363413074664077
0,7,56,4.766758046577649
0,7,57,5.2124001727660705
0,7,58,5.6958867444141745
0,7,59,6.212386923517456
0,8,0,12.205845018010741
0,8,1,15.0
0,8,2,15.998334166468283
0,8,3,16.986693307950613
0,8,4,17.955202066613396
0,8,5,18.894183423086506
0,8,6,19.794255386042032
0,8,7,20.646424733950354
0,8,8,21.442176872376912
0,8,9,22.173560908995228
0,8,10,22.833269096274833
0,8,11,23.414709848078967
0,8,12,23.912073600614356
0,8,13,24.320390859672262
0,8,14,24.63558185417193
0,8,15,24.8544972998846
0,8,16,24.974949866040546
0,8,17,24.99573603041505
0,8,18,24.91664810452469
0,8,19,24.73847630878195
0,8,20,24.463000876874148
0,8,21,24.092974268256818
0,8,22,23.63209366648874
0,8,23,23.0849640381959
0,8,24,22.4570521217672
0,8,25,21.75463180551151
0,8,26,20.984721441039564
0,8,27,20.155013718214644
0,8,28,19.2737988023383
0,8,29,18.34988150155905
0,8,30,17.392493292139825
0,8,31,16.41120008059867
0,8,32,15.415806624332903
0,8,33,14.416258565724199
0,8,34,13.422543058567518
0,8,35,12.444588979731687
0,8,36,11.492167723103801
0,8,37,10.574795567051476
0,8,38,9.701638590915065
0,8,39,8.881421090572811
0,8,40,8.122338408160262
0,8,41,7.431975046920717
0,8,42,6.817228889355897
0,8,43,6.284242275864118
0,8,44,5.838340632505451
0,8,45,5.483979261104839
0,8,46,5.22469882334903
0,8,47,5.063089963665356
0,8,48,5.000767424358992
0,8,49,5.038353911641593
0,8,50,5.175473873756675
0,8,51,5.410757253368615
0,8,52,5.7418531767226755
0,8,53,6.165453442798468
0,8,54,6.677325577760987
0,8,55,7.2723551244401285
0,8,56,7.9445967442960805
0,8,57,8.687333621276784
0,8,58,9.493144574023624
0,8,59,10.353978205862425
0,9,0,6.102922509005371
0,9,1,7.5
0,9,2,7.999167083234141
0,9,3,8.493346653975307
0,9,4,8.977601033306698
0,9,5,9.447091711543253
0,9,6,9.897127693021016
0,9,7,10.323212366975177
0,9,8,10.721088436188456
0,9,9,11.086780454497614
0,9,10,11.416634548137417
0,9,11,11.707354924039484
0,9,12,11.956036800307178
0,9,13,12.160195429836131
0,9,14,12.317790927085966
0,9,15,12.4272486499423
0,9,16,12.487474933020273
0,9,17,12.497868015207525
0,9,18,12.458324052262345
0,9,19,12.369238154390976
0,9,20,12.231500438437074
0,9,21,12.046487134128409
0,9,22,11.81604683324437
0,9,23,11.54248201909795
0,9,24,11.2285260608836
0,9,25,10.877315902755756
0,9,26,10.492360720519782
0,9,27,10.077506859107322
0,9,28,9.63689940116915
0,9,29,9.174940750779525
0,9,30,8.696246646069913
0,9,31,8.205600040299336
0,9,32,7.707903312166452
0,9,33,7.2081292828620995
0,9,34,6.711271529283759
0,9,35,6.222294489865844
0,9,36,5.7460838615519005
0,9,37,5.287397783525738
0,9,38,4.850819295457533
0,9,39,4.4407105452864055
0,9,40,4.061169204080131
0,9,41,3.7159875234603583
0,9,42,3.4086144446779487
0,9,43,3.142121137932059
0,9,44,2.9191703162527256
0,9,45,2.7419896305524194
0,9,46,2.612349411674515
0,9,47,2.531544981832678
0,9,48,2.500383712179496
0,9,49,2.5191769558207966
0,9,50,2.5877369368783376
0,9,51,2.7053786266843076
0,9,52,2.8709265883613377
0,9,53,3.082726721399234
0,9,54,3.3386627888804936
0,9,55,3.6361775622200643
0,9,56,3.9722983721480403
0,9,57,4.343666810638392
0,9,58,4.746572287011812
0,9,59,5.176989102931213
0,10,0,12.205845018010741
0,10,1,15.0
0,10,2,15.998334166468283
0,10,3,16.986693307950613
0,10,4,17.955202066613396
0,10,5,18.894183423086506
0,10,6,19.794255386042032
0,10,7,20.646424733950354
0,10,8,21.442176872376912
0,10,9,22.173560908995228
0,10,10,22.833269096274833
0,10,11,23.414709848078967
0,10,12,23.912073600614356
0,10,13,24.320390859672262
0,10,14,24.63558185417193
0,10,15,24.8544972998846
0,10,16,24.974949866040546
0,10,17,24.99573603041505
0,10,18,24.91664810452469
0,10,19,24.73847630878195
0,10,20,24.463000876874148
0,10,21,24.092974268256818
0,10,22,23.63209366648874
0,10,23,23.0849640381959
0,10,24,22.4570521217672
0,10,25,21.75463180551151
0,10,26,20.984721441039564
0,10,27,20.155013718214644
0,10,28,19.2737988023383
0,10,29,18.34988150155905
0,10,30,17.392493292139825
0,10,31,16.41120008059867
0,10,32,15.415806624332903
0,10,33,14.416258565724199
0,10,34,13.422543058567518
0,10,35,12.444588979731687
0,10,36,11.492167723103801
0,10,37,10.574795567051476
0,10,38,9.701638590915065
0,10,39,8.881421090572811
0,10,40,8.122338408160262
0,10,41,7.431975046920717
0,10,42,6.817228889355897
0,10,43,6.284242275864118
0,10,44,5.838340632505451
0,10,45,5.483979261104839
0,10,46,5.22469882334903
0,10,47,5.063089963665356
0,10,48,5.000767424358992
0,10,49,5.038353911641593
0,10,50,5.175473873756675
0,10,51,5.410757253368615
0,10,52,5.7418531767226755
0,10,53,6.165453442798468
0,10,54,6.677325577760987
0,10,55,7.2723551244401285
0,10,56,7.9445967442960805
0,10,57,8.687333621276784
0,10,58,9.493144574023624
0,10,59,10.353978205862425
0,11,0,12.205845018010741
0,11,1,15.0
0,11,2,15.998334166468283
0,11,3,16.986693307950613
0,11,4,17.955202066613396
0,11,5,18.894183423086506
0,11,6,19.794255386042032
0,11,7,20.646424733950354
0,11,8,21.442176872376912
0,11,9,22.173560908995228
0,11,10,22.833269096274833
0,11,11,23.414709848078967
0,11,12,23.912073600614356
0,11,13,24.320390859672262
0,11,14,24.63558185417193
0,11,15,24.8544972998846
0,11,16,24.974949866040546
0,11,17,24.99573603041505
0,11,18,24.91664810452469
0,11,19,24.73847630878195
0,11,20,24.463000876874148
0,11,21,24.092974268256818
0,11,22,23.63209366648874
0,11,23,23.0849640381959
0,11,24,22.4570521217672
0,11,25,21.75463180551151
0,11,26,20.984721441039564
0,11,27,20.155013718214644
0,11,28,19.2737988023383
0,11,29,18.34988150155905
0,11,30,17.392493292139825
0,11,31,16.41120008059867
0,11,32,15.415806624332903
0,11,33,14.416258565724199
0,11,34,13.422543058567518
0,11,35,12.444588979731687
0,11,36,11.492167723103801
0,11,37,10.574795567051476
0,11,38,9.701638590915065
0,11,39,8.881421090572811
0,11,40,8.122338408160262
0,11,41,7.431975046920717
0,11,42,6.817228889355897
0,11,43,6.284242275864118
0,11,44,5.838340632505451
0,11,45,5.483979261104839
0,11,46,5.22469882334903
0,11,47,5.063089963665356
0,11,48,5.000767424358992
0,11,49,5.038353911641593
0,11,50,5.175473873756675
0,11,51,5.410757253368615
0,11,52,5.7418531767226755
0,11,53,6.165453442798468
0,11,54,6.677325577760987
0,11,55,7.2723551244401285
0,11,56,7.9445967442960805
0,11,57,8.687333621276784
0,11,58,9.493144574023624
0,11,59,10.353978205862425
0,12,0,10.985260516209667
0,12,1,13.5
0,12,2,14.398500749821453
0,12,3,15.288023977155552
0,12,4,16.159681859952055
0,12,5,17.004765080777855
0,12,6,17.814829847437828
0,12,7,18.58178226055532
0,12,8,19.29795918513922
0,12,9,19.956204818095703
0,12,10,20.54994218664735
0,12,11,21.073238863271072
0,12,12,21.52086624055292
0,12,13,21.888351773705036
0,12,14,22.172023668754736
0,12,15,22.36904756989614
0,12,16,22.47745487943649
0,12,17,22.496162427373545
0,12,18,22.42498329407222
0,12,19,22.264628677903758
0,12,20,22.016700789186732
0,12,21,21.683676841431136
0,12,22,21.268884299839865
0,12,23,20.77646763437631
0,12,24,20.211346909590482
0,12,25,19.57916862496036
0,12,26,18.88624929693561
0,12,27,18.13951234639318
0,12,28,17.34641892210447
0,12,29,16.514893351403146
0,12,30,15.653243962925842
0,12,31,14.770080072538804
0,12,32,13.874225961899613
0,12,33,12.974632709151779
0,12,34,12.080288752710766
0,12,35,11.20013008175852
0,12,36,10.342950950793421
0,12,37,9.517316010346327
0,12,38,8.731474731823559
0,12,39,7.993278981515529
0,12,40,7.310104567344236
0,12,41,6.688777542228645
0,12,42,6.135506000420308
0,12,43,5.655818048277706
0,12,44,5.254506569254906
0,12,45,4.935581334994355
0,12,46,4.702228941014127
0,12,47,4.55678096729882
0,12,48,4.500690681923093
0,12,49,4.534518520477434
0,12,50,4.657926486381008
0,12,51,4.869681528031754
0,12,52,5.1676678590504075
0,12,53,5.548908098518622
0,12,54,6.009593019984889
0,12,55,6.545119611996116
0,12,56,7.150137069866473
0,12,57,7.818600259149106
0,12,58,8.543830116621262
0,12,59,9.318580385276183
0,13,0,6.102922509005371
0,13,1,7.5
0,13,2,7.999167083234141
0,13,3,8.493346653975307
0,13,4,8.977601033306698
0,13,5,9.447091711543253
0,13,6,9.897127693021016
0,13,7,10.323212366975177
0,13,8,10.721088436188456
0,13,9,11.086780454497614
0,13,10,11.416634548137417
0,13,11,11.707354924039484
0,13,12,11.956036800307178
0,13,13,12.160195429836131
0,13,14,12.317790927085966
0,13,15,12.4272486499423
0,13,16,12.487474933020273
0,13,17,12.497868015207525
0,13,18,12.458324052262345
0,13,19,12.369238154390976
0,13,20,12.231500438437074
0,13,21,12.046487134128409
0,13,22,11.81604683324437
0,13,23,11.54248201909795
0,13,24,11.2285260608836
0,13,25,10.877315902755756
0,13,26,10.492360720519782
0,13,27,10.077506859107322
0,13,28,9.63689940116915
0,13,29,9.174940750779525
0,13,30,8.696246646069913
0,13,31,8.205600040299336
0,13,32,7.707903312166452
0,13,33,7.2081292828620995
0,13,34,6.711271529283759
0,13,35,6.222294489865844
0,13,36,5.7460838615519005
0,13,37,5.287397783525738
0,13,38,4.850819295457533
0,13,39,4.4407105452864055
0,13,40,4.061169204080131
0,13,41,3.7159875234603583
0,13,42,3.4086144446779487
0,13,43,3.142121137932059
0,13,44,2.9191703162527256
0,13,45,2.7419896305524194
0,13,46,2.612349411674515
0,13,47,2.531544981832678
0,13,48,2.500383712179496
0,13,49,2.5191769558207966
0,13,50,2.5877369368783376
0,13,51,2.7053786266843076
0,13,52,2.8709265883613377
0,13,53,3.082726721399234
0,13,54,3.3386627888804936
0,13,55,3.6361775622200643
0,13,56,3.9722983721480403
0,13,57,4.343666810638392
0,13,58,4.746572287011812
0,13,59,5.176989102931213
0,14,0,10.985260516209667
0,14,1,13.5
0,14,2,14.398500749821453
0,14,3,15.288023977155552
0,14,4,16.159681859952055
0,14,5,17.004765080777855
0,14,6,17.814829847437828
0,14,7,18.58178226055532
0,14,8,19.29795918513922
0,14,9,19.956204818095703
0,14,10,20.54994218664735
0,14,11,21.073238863271072
0,14,12,21.52086624055292
0,14,13,21.888351773705036
0,14,14,22.172023668754736
0,14,15,22.36904756989614
0,14,16,22.47745487943649
0,14,17,22.496162427373545
0,14,18,22.42498329407222
0,14,19,22.264628677903758
0,14,20,22.016700789186732
0,14,21,21.683676841431136
0,14,22,21.268884299839865
0,14,23,20.77646763437631
0,14,24,20.211346909590482
0,14,25,19.57916862496036
0,14,26,18.88624929693561
0,14,27,18.13951234639318
0,14,28,17.34641892210447
0,14,29,16.514893351403146
0,14,30,15.653243962925842
0,14,31,14.770080072538804
0,14,32,13.874225961899613
0,14,33,12.974632709151779
0,14,34,12.080288752710766
0,14,35,11.20013008175852
0,14,36,10.342950950793421
0,14,37,9.517316010346327
0,14,38,8.731474731823559
0,14,39,7.993278981515529
0,14,40,7.310104567344236
0,14,41,6.688777542228645
0,14,42,6.135506000420308
0,14,43,5.655818048277706
0,14,44,5.254506569254906
0,14,45,4.935581334994355
0,14,46,4.702228941014127
0,14,47,4.55678096729882
0,14,48,4.500690681923093
0,14,49,4.534518520477434
0,14,50,4.657926486381008
0,14,51,4.869681528031754
0,14,52,5.1676678590504075
0,14,53,5.548908098518622
0,14,54,6.009593019984889
0,14,55,6.545119611996116
0,14,56,7.150137069866473
0,14,57,7.818600259149106
0,14,58,8.543830116621262
0,14,59,9.318580385276183
1,0,0,9.764676014408593
1,0,1,12.0
1,0,2,12.798667333174626
1,0,3,13.58935464636049
1,0,4,14.364161653290717
1,0,5,15.115346738469205
1,0,6,15.835404308833624
1,0,7,16.517139787160282
1,0,8,17.153741497901528
1,0,9,17.73884872719618
1,0,10,18.266615277019866
1,0,11,18.731767878463174
1,0,12,19.129658880491483
1,0,13,19.45631268773781
1,0,14,19.708465483337545
1,0,15,19.88359783990768
1,0,16,19.979959892832436
1,0,17,19.99658882433204
1,0,18,19.93331848361975
1,0,19,19.79078104702556
1,0,20,19.570400701499317
1,0,21,19.274379414605455
1,0,22,18.90567493319099
1,0,23,18.46797123055672
1,0,24,17.965641697413762
1,0,25,17.40370544440921
1,0,26,16.78777715283165
1,0,27,16.124010974571714
1,0,28,15.419039041870638
1,0,29,14.67990520124724
1,0,30,13.913994633711859
1,0,31,13.128960064478937
1,0,32,12.332645299466323
1,0,33,11.533006852579359
1,0,34,10.738034446854014
1,0,35,9.95567118378535
1,0,36,9.19373417848304
1,0,37,8.45983645364118
1,0,38,7.761310872732053
1,0,39,7.105136872458249
1,0,40,6.49787072652821
1,0,41,5.9455800375365735
1,0,42,5.453783111484718
1,0,43,5.0273938206912945
1,0,44,4.670672506004361
1,0,45,4.387183408883871
1,0,46,4.179759058679224
1,0,47,4.050471970932285
1,0,48,4.000613939487193
1,0,49,4.0306831293132745
1,0,50,4.14037909900534
1,0,51,4.328605802694892
1,0,52,4.59348254137814
1,0,53,4.932362754238775
1,0,54,5.34186046220879
1,0,55,5.817884099552103
1,0,56,6.355677395436865
1,0,57,6.949866897021427
1,0,58,7.594515659218899
1,0,59,8.283182564689941
1,1,0,6.102922509005371
1,1,1,7.5
1,1,2,7.999167083234141
1,1,3,8.493346653975307
1,1,4,8.977601033306698
1,1,5,9.447091711543253
1,1,6,9.897127693021016
1,1,7,10.323212366975177
1,1,8,10.721088436188456
1,1,9,11.086780454497614
1,1,10,11.416634548137417
1,1,11,11.707354924039484
1,1,12,11.956036800307178
1,1,13,12.160195429836131
1,1,14,12.317790927085966
1,1,15,12.4272486499423
1,1,16,12.487474933020273
1,1,17,12.497868015207525
1,1,18,12.458324052262345
1,1,19,12.369238154390976
1,1,20,12.231500438437074
1,1,21,12.046487134128409
1,1,22,11.81604683324437
1,1,23,11.54248201909795
1,1,24,11.2285260608836
1,1,25,10.877315902755756
1,1,26,10.492360720519782
1,1,27,10.077506859107322
1,1,28,9.63689940116915
1,1,29,9.174940750779525
1,1,30,8.696246646069913
1,1,31,8.205600040299336
1,1,32,7.707903312166452
1,1,33,7.2081292828620995
1,1,34,6.711271529283759
1,1,35,6.222294489865844
